CPUBID,CSEX,CMOB,CYRB
84585,2,3,1993
53687,2,11,1994
85002,2,6,1981
67346,2,10,1983
18753,2,4,1986
11044,1,8,1980
41508,NA,NA,NA
47215,2,3,1976
49622,1,5,1979
70024,2,9,1982
51904,2,1,1983
31030,2,7,1988
20755,1,10,1989
51636,1,8,1993
78334,1,2,1990
49746,1,8,1993
25306,2,9,1996
88592,2,11,1987
15759,2,8,1990
94525,1,10,1990
85229,2,8,1993
90961,2,2,1988
71568,1,1,1992
40222,1,12,1982
56436,1,3,1987
26375,1,10,1991
62359,2,5,1990
43038,2,6,1993
37686,2,4,1990
51581,2,10,1982
93899,2,2,1989
11849,2,2,1997
34700,2,4,2000
96423,2,9,1981
55999,2,7,1985
89674,2,4,1994
10848,2,7,1997
55680,1,12,1982
13845,1,3,1987
72052,1,7,1985
99384,1,7,1988
31289,1,6,1990
69695,1,6,1990
64121,2,11,1992
76394,1,7,1979
44893,1,10,1995
45024,2,2,1998
15218,2,7,1981
38585,2,3,1984
18768,1,11,1988
18216,2,3,1993
64637,1,8,1994
63996,1,8,2003
81656,1,8,1996
76221,2,9,1998
21966,2,11,2001
84513,2,8,1993
80689,1,7,1995
54931,2,12,1996
79188,2,1,1994
91975,2,6,1996
88434,2,3,1989
20124,2,2,1992
42681,1,9,1996
75943,2,1,2000
22928,2,11,1977
61061,2,4,1986
59406,1,1,1994
28683,1,10,1996
97259,1,11,1982
97376,1,4,1992
31757,1,10,1985
23365,1,6,1987
23081,1,12,1988
11272,2,10,1980
66576,2,12,1986
53951,1,5,1998
49594,1,6,1987
73770,1,6,1989
54185,1,9,1987
34563,1,10,1990
50305,1,10,1994
23333,1,6,1987
71088,1,3,1993
79630,1,6,1985
62231,1,5,1991
99975,2,2,1993
39135,1,4,1992
32695,2,4,1982
17476,2,8,1983
45830,1,3,1987
22387,1,7,1982
57778,2,9,1997
18915,2,4,1993
79341,2,5,1994
85945,2,3,1996
43995,2,7,1997
17532,1,12,1981
91172,2,4,1991
67580,1,10,1992
41280,2,7,1988
69648,1,1,1990
55188,1,12,1982
54894,2,2,1986
50398,1,11,1992
47974,1,7,1988
49193,2,5,1991
11596,1,2,1989
97728,1,7,1991
77808,2,7,1993
19724,1,1,1993
64130,1,9,1985
45256,1,5,1988
70693,2,10,1990
95614,1,10,1990
57665,1,9,1992
14144,2,8,1994
31774,2,7,1997
25512,2,12,1987
64359,1,5,1990
53258,2,5,1991
15073,1,8,1993
41893,1,2,1985
76848,2,6,1986
67792,2,4,1985
19265,1,8,1987
59874,2,7,1985
53395,1,12,1988
31141,1,9,1985
79149,1,4,1987
19639,1,3,1990
13002,2,3,1993
85842,2,3,1993
10218,1,12,1990
26597,1,4,1994
30081,2,10,1996
46734,2,8,1988
98623,2,4,1992
19807,1,2,1998
38408,1,2,1985
67392,2,8,1987
67850,2,6,1993
60098,1,10,1985
78365,1,1,1990
22930,1,4,1982
90590,2,10,1983
31711,1,5,1986
81962,1,9,1992
57688,2,7,1981
41088,2,9,1983
62263,1,5,1978
82682,1,3,1982
48030,1,12,1984
44955,1,11,1984
38234,1,12,1987
62227,2,1,1991
50280,2,7,1999
51426,1,3,1991
42971,2,4,1985
14645,2,4,1995
24952,2,5,1991
24461,1,7,1994
43259,2,7,1998
46612,1,11,1989
61425,2,11,1990
25268,2,1,1983
77816,2,11,1987
80645,2,7,1986
27993,2,2,1990
42321,1,7,1975
23149,2,7,1984
88524,2,8,1978
69346,1,5,1981
95356,1,7,1986
76008,2,8,1975
27805,2,3,1996
44684,1,8,1997
40998,2,11,1999
59166,1,2,2003
73580,1,7,1986
83965,1,12,1987
14275,2,4,1989
47941,2,6,1991
14323,1,12,1974
74617,2,12,1977
70378,1,1,1979
50731,2,9,1975
82661,2,8,1977
76893,1,6,1985
84886,1,1,1994
54711,2,2,1980
77068,1,6,1986
65507,1,12,1987
33358,2,1,1990
48081,1,3,1992
32737,2,3,1990
48873,2,2,1993
12359,1,6,1988
62897,1,12,1990
31254,1,4,1995
11974,2,5,1981
27558,2,9,1980
38203,1,9,1983
37146,1,10,1984
50624,1,11,1984
41608,2,12,1986
91365,2,6,1986
57769,2,7,1975
30437,2,8,1979
87498,2,6,1991
10650,2,3,1992
