CASEID_1979,CPUBID1,CPUBID2,CPUBID3,CPUBID4,CPUBID5,CPUBID6
2,84585,53687,NA,NA,NA,NA
3,85002,67346,18753,NA,NA,NA
4,11044,41508,NA,NA,NA,NA
8,47215,49622,70024,NA,NA,NA
10,51904,31030,NA,NA,NA,NA
12,20755,51636,NA,NA,NA,NA
16,78334,49746,25306,NA,NA,NA
19,88592,NA,NA,NA,NA,NA
20,15759,NA,NA,NA,NA,NA
25,94525,85229,NA,NA,NA,NA
27,90961,71568,NA,NA,NA,NA
30,40222,56436,26375,NA,NA,NA
35,62359,43038,NA,NA,NA,NA
37,37686,NA,NA,NA,NA,NA
43,51581,93899,11849,34700,NA,NA
44,96423,55999,NA,NA,NA,NA
46,89674,10848,NA,NA,NA,NA
49,55680,13845,NA,NA,NA,NA
50,72052,99384,31289,69695,64121,NA
57,76394,44893,45024,NA,NA,NA
58,15218,38585,18768,NA,NA,NA
61,18216,64637,63996,NA,NA,NA
62,81656,76221,21966,NA,NA,NA
68,84513,80689,54931,NA,NA,NA
75,79188,91975,NA,NA,NA,NA
78,88434,20124,42681,75943,NA,NA
86,22928,NA,NA,NA,NA,NA
89,61061,NA,NA,NA,NA,NA
91,59406,28683,NA,NA,NA,NA
92,97259,97376,NA,NA,NA,NA
95,31757,23365,23081,NA,NA,NA
96,11272,66576,53951,NA,NA,NA
97,49594,73770,NA,NA,NA,NA
98,54185,34563,50305,NA,NA,NA
99,23333,71088,NA,NA,NA,NA
100,79630,62231,99975,NA,NA,NA
102,39135,NA,NA,NA,NA,NA
111,32695,17476,45830,NA,NA,NA
112,22387,57778,NA,NA,NA,NA
115,18915,79341,85945,43995,NA,NA
118,17532,91172,NA,NA,NA,NA
121,67580,NA,NA,NA,NA,NA
124,41280,69648,NA,NA,NA,NA
128,55188,54894,NA,NA,NA,NA
133,50398,NA,NA,NA,NA,NA
137,47974,49193,NA,NA,NA,NA
138,11596,97728,77808,NA,NA,NA
140,19724,NA,NA,NA,NA,NA
143,64130,45256,70693,95614,NA,NA
144,57665,14144,31774,NA,NA,NA
147,25512,64359,NA,NA,NA,NA
149,53258,15073,NA,NA,NA,NA
153,41893,76848,NA,NA,NA,NA
157,67792,19265,NA,NA,NA,NA
158,59874,53395,NA,NA,NA,NA
159,31141,79149,19639,13002,85842,NA
160,10218,NA,NA,NA,NA,NA
161,26597,30081,NA,NA,NA,NA
165,46734,98623,19807,NA,NA,NA
167,38408,67392,NA,NA,NA,NA
172,67850,NA,NA,NA,NA,NA
174,60098,78365,NA,NA,NA,NA
175,22930,90590,31711,81962,NA,NA
179,57688,41088,NA,NA,NA,NA
180,62263,82682,48030,NA,NA,NA
183,44955,38234,62227,NA,NA,NA
184,50280,NA,NA,NA,NA,NA
186,51426,NA,NA,NA,NA,NA
188,42971,NA,NA,NA,NA,NA
190,14645,NA,NA,NA,NA,NA
192,24952,24461,43259,NA,NA,NA
197,46612,61425,NA,NA,NA,NA
200,25268,77816,NA,NA,NA,NA
203,80645,27993,NA,NA,NA,NA
204,42321,23149,NA,NA,NA,NA
205,88524,69346,95356,NA,NA,NA
208,76008,NA,NA,NA,NA,NA
211,27805,44684,40998,59166,NA,NA
221,73580,83965,14275,47941,NA,NA
224,14323,74617,70378,NA,NA,NA
227,50731,82661,76893,84886,NA,NA
228,54711,77068,65507,33358,NA,NA
229,48081,NA,NA,NA,NA,NA
231,32737,48873,NA,NA,NA,NA
236,12359,62897,31254,NA,NA,NA
237,11974,NA,NA,NA,NA,NA
239,27558,38203,37146,NA,NA,NA
240,50624,41608,NA,NA,NA,NA
242,91365,NA,NA,NA,NA,NA
244,57769,30437,87498,NA,NA,NA
245,10650,74760,56442,NA,NA,NA
249,69866,76336,76355,77148,NA,NA
250,77017,75382,NA,NA,NA,NA
252,27925,10120,NA,NA,NA,NA
254,20265,42675,85669,20394,75778,NA
255,54669,62468,44166,24583,10333,NA
256,77434,89038,NA,NA,NA,NA
258,18706,97093,55104,NA,NA,NA
262,97260,90997,NA,NA,NA,NA
265,45385,42717,19975,64765,NA,NA
272,24672,45801,39001,67966,NA,NA
275,23945,39290,NA,NA,NA,NA
278,54426,39873,28721,20630,NA,NA
282,12898,54624,NA,NA,NA,NA
285,47158,26202,49512,NA,NA,NA
287,16520,58655,NA,NA,NA,NA
288,29903,70315,72333,80269,61575,65202
289,54864,16232,NA,NA,NA,NA
290,71336,83138,NA,NA,NA,NA
292,65400,31295,NA,NA,NA,NA
293,56358,91041,NA,NA,NA,NA
294,37675,41402,79025,NA,NA,NA
297,55471,39842,NA,NA,NA,NA
298,58283,48580,NA,NA,NA,NA
305,34569,98562,NA,NA,NA,NA
312,59226,61877,NA,NA,NA,NA
314,80247,53268,87131,90560,83051,NA
321,65203,91351,57741,NA,NA,NA
322,25090,41954,85134,NA,NA,NA
333,34014,71827,NA,NA,NA,NA
335,38671,NA,NA,NA,NA,NA
338,90322,73679,NA,NA,NA,NA
339,78125,NA,NA,NA,NA,NA
340,93231,82195,76926,NA,NA,NA
343,16909,NA,NA,NA,NA,NA
344,77655,63341,NA,NA,NA,NA
345,25068,NA,NA,NA,NA,NA
347,85897,33670,NA,NA,NA,NA
354,82671,10806,NA,NA,NA,NA
365,35009,29173,63855,93896,32088,NA
369,61949,43020,NA,NA,NA,NA
371,50205,73347,77329,NA,NA,NA
373,34694,67450,NA,NA,NA,NA
374,96153,86091,45897,NA,NA,NA
379,78031,82494,26986,NA,NA,NA
382,67355,41676,NA,NA,NA,NA
385,89305,94328,35582,NA,NA,NA
388,33764,47188,75306,NA,NA,NA
389,83526,20404,NA,NA,NA,NA
