CPUBID,year,piat_math,piat_recog,piat_comp
68467,1994,125,100,98
32195,2010,90,84,99
NA,2006,120,99,104
53476,1996,108,103,96
59151,1998,94,95,78
42940,1994,106,115,NA
68113,2000,97,120,110
67601,2002,97,109,99
91787,1992,105,117,107
90158,2014,135,128,115
72842,1992,107,106,NA
78429,2008,118,117,114
26241,1996,80,80,69
35944,1998,65,95,87
35033,2004,116,106,111
54410,2004,96,104,74
20359,1996,94,95,105
16839,1994,79,111,122
28365,2000,113,101,91
42972,2008,117,128,109
18519,1992,86,85,97
29130,1992,97,105,109
35723,1994,101,88,89
80371,2006,107,115,112
22262,1996,135,112,NA
31897,2004,107,113,120
71762,1996,88,91,92
55021,2010,116,122,97
56109,1998,97,109,NA
80006,2000,100,99,101
69628,1998,109,117,111
44693,1998,85,97,100
29498,2000,118,118,110
36669,1998,116,95,99
57151,1992,72,87,72
11103,2002,92,105,111
51294,2008,108,123,97
88482,1994,90,102,110
22930,1996,112,135,123
25561,1996,115,84,91
89912,1992,95,88,100
64438,1996,102,111,110
81048,2000,121,122,131
93996,1994,98,103,107
17392,1998,104,123,108
82627,2006,118,119,99
32371,2006,110,102,94
86452,2000,112,101,NA
71432,2004,95,122,111
66680,1998,102,105,106
95927,2008,135,135,125
20335,1998,104,107,103
41158,1998,111,102,105
75570,2006,105,118,116
58963,2008,118,100,86
91750,1994,110,117,108
85099,2004,118,125,111
36040,2014,109,125,94
31823,2002,104,111,117
54201,2004,111,91,107
80892,2002,103,126,128
74342,1996,88,102,90
33884,1992,108,98,101
56349,2008,116,119,116
27049,1996,93,93,NA
30905,1994,80,75,NA
97259,1992,102,112,121
42306,2000,104,135,116
92597,2000,120,103,107
27661,2010,112,93,99
14034,1994,105,113,114
47940,2004,89,109,115
52488,2002,120,123,102
88965,2014,65,72,69
31251,2004,91,80,75
14360,2000,114,125,123
38097,2002,113,121,113
19807,2008,116,94,89
21867,1996,97,102,96
71168,2002,80,87,74
72724,2002,88,91,81
52095,1992,82,79,87
95806,1994,93,109,114
84583,1994,120,108,113
31059,1996,122,135,125
22069,1996,96,107,110
15743,1992,74,98,74
44693,2000,102,105,92
74430,2004,105,102,97
69648,1996,98,98,NA
59576,2010,135,116,126
84786,2000,113,92,91
85645,1994,99,106,110
78534,1992,112,NA,NA
50069,1996,116,135,126
38344,1998,99,114,118
44073,1996,96,90,81
94095,2000,65,89,102
74470,2004,105,118,109
17027,1994,100,105,91
46405,1992,72,84,85
98204,2010,117,115,117
99348,1992,85,95,97
60215,2000,102,98,102
33647,2008,125,116,90
83229,1998,102,118,98
10857,2008,126,121,118
92015,1992,90,91,95
13229,2010,103,116,106
75655,1992,65,72,69
85068,1992,82,81,78
66106,1998,69,65,65
50486,1998,120,112,118
64637,2004,118,108,131
78237,2002,131,128,116
84005,1992,90,104,97
51613,1994,94,107,87
80261,1998,82,91,88
23302,2002,112,103,114
34519,1998,83,92,75
47405,1992,120,120,118
59471,1994,125,126,121
77548,1992,99,114,103
43419,2008,135,135,125
18042,1992,94,121,90
57405,1998,88,107,85
83789,2002,119,115,NA
98991,1994,79,75,79
33647,2002,72,122,109
57226,2004,131,118,108
94764,2004,95,110,116
54424,1994,98,97,NA
37292,1998,126,120,121
24961,2000,98,105,102
74855,1992,72,84,85
35640,1992,112,131,107
55367,2000,101,125,110
91750,1992,114,113,114
48010,1996,104,103,94
39142,1994,99,79,81
47974,2000,118,135,118
44372,2002,99,92,93
46029,1994,96,96,128
31663,1998,77,109,NA
19980,2000,110,123,87
78827,2008,95,104,107
11275,1998,90,90,116
16243,1996,131,123,107
14259,1996,107,125,99
19718,2000,94,99,98
68339,1996,111,94,NA
54871,1998,106,99,91
43897,2000,104,90,86
96510,2002,114,112,135
54512,1992,92,103,93
35728,1996,104,84,87
41803,2000,93,102,85
70019,1994,101,102,105
44398,1992,112,110,106
14276,2000,128,100,88
64121,2006,103,123,92
43504,1998,102,94,102
NA,2008,69,84,78
54496,2002,100,89,96
25967,1994,107,97,98
73613,1994,78,113,107
97261,2000,96,106,102
71467,1992,111,123,91
62162,1996,91,97,93
68202,2004,115,112,74
64732,1998,91,113,91
95324,1994,92,95,94
34044,2002,88,82,90
80732,2002,116,119,106
77522,1996,111,105,107
18025,1998,131,131,123
89753,1992,93,88,91
46430,2002,95,90,84
71296,2002,128,120,NA
55217,2004,91,88,86
92650,1998,106,102,105
79886,2008,91,105,88
18844,1994,101,88,NA
26962,1996,97,110,100
61909,1998,92,78,89
85482,2006,81,87,85
14315,1994,118,118,109
94230,1996,72,106,98
57603,1998,97,112,100
35760,2004,88,91,87
63369,2000,88,74,74
12898,2002,121,112,102
22263,2000,107,109,108
66816,2004,120,120,116
30238,1992,98,98,99
54891,2004,116,126,128
47748,1994,106,101,102
47060,1996,104,122,104
24871,2000,92,111,115
53156,2002,117,74,93
35944,1994,75,95,NA
16252,2004,96,109,90
35330,1994,96,96,101
73653,2004,112,115,108
37378,1998,114,105,93
42101,1992,89,91,84
76415,2008,128,108,69
67726,2002,88,102,102
81046,2006,97,101,95
16324,2000,119,114,99
41722,1994,105,97,97
22487,1992,96,107,110
19875,2004,93,111,99
62111,1992,86,90,82
79362,1998,103,103,114
98581,2004,102,114,104
42031,1996,87,107,114
65832,2006,116,116,107
73506,2002,125,110,114
96014,1994,123,108,96
33697,2000,87,90,87
20841,1994,102,93,75
61824,2002,69,84,NA
59874,1992,99,119,122
21517,2000,100,92,96
28963,1994,100,77,74
51581,1996,97,85,82
47339,2000,93,92,94
74484,1994,100,92,98
90694,2010,112,103,NA
68119,1994,88,89,84
49473,2008,116,128,111
36865,1996,94,97,102
63331,2006,99,100,94
20841,1992,105,98,104
54269,2004,107,126,122
97569,1996,98,108,111
73459,1998,107,105,107
66802,2010,106,87,95
96969,1992,75,98,NA
47768,1992,115,135,105
36040,2008,118,118,105
57652,1992,108,120,107
44240,2008,131,135,117
41451,1998,103,100,109
13221,1992,123,107,116
19767,1992,106,112,93
24691,1996,78,106,92
66737,1996,114,111,99
88196,2002,87,78,81
82836,1992,75,87,NA
33007,2002,89,74,81
33746,1994,88,97,82
28726,2002,85,91,NA
25843,1998,101,125,NA
54796,1992,106,120,NA
96238,1994,104,90,94
33306,1998,112,114,108
46714,2006,105,113,NA
46055,1992,89,98,109
96903,2000,107,100,99
48899,1998,82,86,82
85915,1994,110,108,69
54935,1998,90,98,84
15759,1996,110,109,NA
51658,1994,101,116,99
42071,1994,109,122,119
26455,2000,97,94,NA
93950,1992,65,75,75
42491,1994,101,88,93
83323,2012,121,111,102
10807,1994,78,78,69
72543,1996,110,112,115
60079,1994,99,97,101
16435,1992,99,93,95
14901,2008,114,111,117
51514,1994,91,105,107
33308,1998,101,112,107
14179,1998,100,87,93
16250,1998,98,107,104
24396,2006,104,126,106
25063,1994,96,103,105
93023,1996,88,97,100
51701,2008,99,106,112
63874,1998,65,NA,NA
35322,1996,114,114,104
59834,1998,116,115,117
45986,1996,87,90,92
72842,1996,99,113,105
80164,1994,97,109,101
92031,2000,109,118,117
88420,2004,102,85,84
NA,2012,69,91,65
51386,1998,65,94,NA
98034,1992,103,108,97
42586,1998,98,105,107
19725,1994,105,112,110
32726,2012,89,93,104
61193,1994,102,95,96
86392,1992,91,88,80
81779,1998,105,91,102
48357,1998,102,96,104
40598,1994,98,103,94
82705,2002,120,99,94
65871,2000,113,86,86
58717,2002,121,115,NA
80124,2004,89,91,87
80323,1996,96,117,109
29133,1994,84,92,97
60699,2004,114,120,116
86510,2010,120,107,110
NA,2012,97,111,95
48644,1994,94,93,88
27604,2004,118,135,120
70423,2000,77,84,81
49167,2002,83,82,96
19822,1992,110,102,104
94230,2000,105,97,93
86972,2004,100,65,79
40268,1996,88,125,91
46518,2006,116,120,114
19284,2002,110,123,116
12462,1994,80,65,65
44961,1992,92,87,91
71168,2000,86,97,96
48395,2002,97,94,NA
45419,1996,89,107,89
32732,2000,121,131,125
18216,2002,131,107,113
88486,1994,87,95,79
28724,2004,109,116,120
58181,2006,113,95,103
44385,2006,104,119,106
26986,1996,79,108,107
61576,1998,113,118,105
14323,1992,88,112,91
58643,2010,65,77,87
39432,1998,116,125,NA
28220,1994,95,107,109
67936,2004,95,99,91
73432,1994,90,91,92
44641,1992,111,125,116
98301,2000,87,89,81
10230,1996,93,108,113
41676,1994,88,108,77
62268,2000,120,135,NA
69794,1992,122,111,107
66976,2006,102,88,80
51428,1996,89,98,105
26479,2008,107,119,105
12289,2002,125,128,120
98991,1996,88,94,111
36953,1998,88,116,98
66227,2012,88,98,82
24612,2000,119,128,119
60042,2004,101,105,NA
16154,1996,97,102,84
98639,1998,105,116,117
83472,1996,65,65,69
91003,2006,95,108,90
81585,1994,105,114,93
70782,2004,81,99,109
24871,1992,98,110,107
89480,1996,107,101,NA
44592,2006,115,115,108
52076,1996,90,98,NA
69306,2000,74,97,88
87147,2000,122,122,116
55861,2004,118,113,91
40658,2004,90,93,101
85229,2000,91,118,119
41642,1992,91,95,87
22523,2006,111,113,122
44427,1996,96,97,NA
74955,1992,90,74,82
26840,1992,85,80,82
82294,1998,106,122,113
61289,2010,95,103,89
42347,2000,92,74,72
63086,2004,98,116,102
86883,1998,90,97,99
41805,1996,79,95,102
45216,2002,72,75,72
73855,1996,97,80,82
79817,2006,112,105,95
72724,2004,65,79,74
45426,1994,97,74,81
28177,1992,79,101,114
33764,1996,86,102,100
36985,1996,114,105,91
46734,1998,102,123,116
21303,2000,90,110,109
29184,1998,104,114,106
73679,1996,97,113,118
41158,2004,97,93,82
98581,2006,110,114,105
45801,1992,118,110,NA
19121,1994,122,131,113
55751,2002,83,94,98
42675,1996,110,98,109
98001,2000,107,97,95
42208,1992,88,97,84
18497,1994,99,105,99
91763,1994,108,109,103
29085,2010,107,113,NA
92049,2000,128,112,118
99933,1996,97,85,82
97094,1996,65,78,65
50707,1998,104,102,98
97872,2004,86,94,88
92609,1998,104,97,105
27240,1998,94,123,85
29378,1992,90,88,NA
59411,1996,101,118,92
91362,1996,95,89,91
95973,1996,135,109,120
52016,1992,77,74,69
59231,1998,94,82,69
49026,1992,103,106,105
32573,1994,105,116,99
34592,2004,114,110,114
32385,2000,109,135,113
65752,1992,82,72,85
57788,2004,125,108,92
91049,2004,118,104,100
57638,1994,89,103,NA
45865,2002,128,125,114
16680,1996,94,112,91
48766,1996,111,103,100
73876,1994,105,94,86
66164,2000,97,89,90
99603,1998,115,135,82
81301,1994,93,95,93
94912,2004,103,113,108
69051,1994,113,93,93
53482,1994,102,121,107
75162,1994,104,89,90
25167,2002,113,126,122
57742,2004,117,123,114
33498,2010,88,108,80
68127,1992,86,103,NA
33426,2002,95,103,96
61056,2002,104,104,112
28217,2006,122,104,93
47000,1994,102,113,114
94542,2000,86,108,95
40023,1998,77,72,72
94146,1996,87,89,109
62540,1992,116,118,108
94654,1996,97,100,97
67350,1994,108,135,111
48706,1994,111,118,116
78031,1996,75,107,93
32539,2000,93,122,106
99096,1994,113,118,93
31230,1992,77,94,NA
59372,1998,79,80,NA
55733,2004,97,113,107
73726,2002,84,77,65
14724,1998,123,109,NA
27114,1992,104,97,102
93914,2014,93,107,91
85284,1994,87,94,88
51197,1994,95,82,81
43714,1992,114,123,106
64074,2000,112,118,106
49764,2002,125,108,114
20072,1994,121,108,100
47554,2008,104,118,110
29585,2002,98,100,103
25634,1994,65,88,NA
40767,1998,97,108,108
62577,1994,103,110,101
22897,2002,65,80,92
92067,2000,109,108,98
94104,1992,100,95,100
14422,2002,102,109,118
55188,1992,110,94,100
82819,2000,102,108,108
43882,1992,91,77,81
61218,1992,86,101,103
29953,1996,126,121,NA
67144,2004,82,92,80
77840,1996,101,105,109
41160,2010,112,113,118
19122,1996,103,114,99
86509,1994,96,109,93
41476,1992,100,91,81
89353,1996,108,128,103
94079,2006,98,109,99
70657,2002,97,103,103
13963,1996,89,87,90
96984,2002,103,108,100
95902,2012,116,119,105
61877,1994,95,112,101
66696,1998,90,113,102
59658,2004,116,121,118
54187,1998,88,90,92
93210,2002,74,98,98
39878,2004,83,84,82
29034,2012,128,114,114
67459,1996,101,125,NA
46957,1994,105,116,104
48395,2006,99,112,118
47280,1998,90,98,NA
88863,2002,110,118,105
63189,1996,90,84,NA
50418,1992,128,117,116
28587,1998,98,122,NA
66746,1994,65,65,NA
64247,1998,103,105,112
47624,2006,105,107,107
40882,2006,108,111,116
66762,2004,105,118,113
77143,1994,69,74,NA
34685,1998,95,100,82
89130,1996,105,116,112
67346,1994,86,113,102
85209,2002,135,135,92
53839,1996,75,95,NA
93081,2004,117,105,97
57638,1996,99,113,118
15530,1992,85,97,NA
93023,2002,84,85,107
29378,1996,102,87,89
63095,1998,119,105,111
10180,2004,100,80,79
73487,1994,94,88,91
44328,1992,72,115,102
79159,1992,87,103,NA
73039,1992,95,79,80
64716,1998,113,107,100
41356,1994,81,92,90
25268,1994,105,106,98
84946,1996,78,98,107
82852,1998,97,100,97
77786,1998,126,122,116
53970,1994,102,91,87
74872,2004,88,126,126
99595,1996,101,105,NA
29936,1998,82,105,102
71538,1996,112,135,NA
10670,2000,95,109,113
56576,1992,100,102,88
41356,1992,84,93,97
40078,1994,100,111,99
15606,1992,102,119,114
71157,1998,106,118,126
34785,2008,115,114,113
10319,1994,87,84,87
61824,2010,65,79,83
61041,2006,65,88,NA
32965,1994,108,112,103
65623,2004,85,91,94
26811,1994,90,104,102
10994,1994,91,98,84
53568,1992,89,106,NA
24468,2004,97,99,NA
75396,2000,96,112,113
95343,1996,116,126,NA
62284,1994,104,121,115
61619,2002,121,106,110
18608,2012,121,110,118
16740,1994,110,88,79
46079,1992,82,87,77
70591,2004,89,108,113
80744,1996,80,69,74
95667,1996,79,90,90
28671,1996,77,80,NA
58407,1992,109,101,111
52426,1994,97,103,94
23237,2008,65,88,65
38361,1996,120,96,114
55993,2010,65,65,NA
44814,1994,102,121,101
85637,1996,101,81,83
52876,1998,98,93,85
14475,1992,126,123,118
86003,1994,90,77,81
51327,1996,96,104,100
10857,2006,135,118,123
97635,1994,89,87,85
38068,1992,77,84,86
48927,2008,128,117,116
99564,1992,93,97,98
55075,1994,98,119,105
36267,1992,118,135,125
50753,1998,101,121,102
91350,2004,110,102,95
50954,1996,72,97,84
79559,1996,97,103,98
11513,1998,108,113,121
35330,1992,90,92,105
84788,1992,105,106,113
80080,1994,84,91,NA
12249,2000,105,97,100
58986,1992,84,77,77
29355,1992,74,83,72
56586,2000,80,117,98
89198,2006,113,103,120
86833,2008,92,101,102
36389,2012,111,113,107
59608,2008,131,116,106
54796,1998,114,111,115
17335,1998,86,79,96
80323,1994,112,119,114
71214,1998,100,111,101
96105,1992,98,95,NA
27821,1996,99,113,NA
24117,1994,100,87,89
79063,2000,72,80,65
71309,2002,135,117,117
11995,2000,111,122,112
97330,2004,102,84,95
50793,1992,97,97,114
61268,2002,106,100,89
42590,1994,97,100,100
53006,2002,96,65,NA
96677,1996,105,98,NA
67000,1994,109,105,107
68418,1994,110,116,107
57656,2006,103,99,95
29621,2000,86,111,99
64585,2000,105,114,117
77509,1992,105,106,NA
94095,1998,92,95,97
53356,1992,93,131,NA
20394,2002,125,113,122
13131,1996,118,115,106
79669,1992,114,75,NA
65443,1998,112,121,113
55147,1998,81,95,105
70891,2000,114,87,86
11747,1992,93,103,113
52217,2000,111,119,135
75196,2012,107,108,102
73740,1996,110,114,107
